 subject_code,family_code,family_nbr,series_code,subject_title,family_title,var_1,var_2,var_3,var_4,var_5,val_1,val_2,val_3,val_4,val_5,interval,offset,magnitude,unit,period,value,status
"HLF","SJC",4333,"HLFQ.SJCSE1AA","Household Labour Force Survey - HLF","Persons Employed by Sex by Industry, ANZSIC06 - Sampling Errors","Sampling Errors","Sex","Industry ANZSIC06",,,"Sampling errors","Male","Agriculture, Forestry and Fishing",,,3,3,3,"NUMBER",2007.12,null,"F"
"HLF","SJC",4333,"HLFQ.SJCSE1AA","Household Labour Force Survey - HLF","Persons Employed by Sex by Industry, ANZSIC06 - Sampling Errors","Sampling Errors","Sex","Industry ANZSIC06",,,"Sampling errors","Male","Agriculture, Forestry and Fishing",,,3,3,3,"NUMBER",2008.03,null,"F"
"HLF","SJC",4333,"HLFQ.SJCSE1AA","Household Labour Force Survey - HLF","Persons Employed by Sex by Industry, ANZSIC06 - Sampling Errors","Sampling Errors","Sex","Industry ANZSIC06",,,"Sampling errors","Male","Agriculture, Forestry and Fishing",,,3,3,3,"NUMBER",2008.06,null,"F"
"HLF","SJC",4333,"HLFQ.SJCSE1AA","Household Labour Force Survey - HLF","Persons Employed by Sex by Industry, ANZSIC06 - Sampling Errors","Sampling Errors","Sex","Industry ANZSIC06",,,"Sampling errors","Male","Agriculture, Forestry and Fishing",,,3,3,3,"NUMBER",2008.09,null,"F"
"HLF","SJC",4333,"HLFQ.SJCSE1AA","Household Labour Force Survey - HLF","Persons Employed by Sex by Industry, ANZSIC06 - Sampling Errors","Sampling Errors","Sex","Industry ANZSIC06",,,"Sampling errors","Male","Agriculture, Forestry and Fishing",,,3,3,3,"NUMBER",2008.12,null,"F"
"HLF","SJC",4333,"HLFQ.SJCSE1AA","Household Labour Force Survey - HLF","Persons Employed by Sex by Industry, ANZSIC06 - Sampling Errors","Sampling Errors","Sex","Industry ANZSIC06",,,"Sampling errors","Male","Agriculture, Forestry and Fishing",,,3,3,3,"NUMBER",2009.03,9.6,"F"
"HLF","SJC",4333,"HLFQ.SJCSE1AA","Household Labour Force Survey - HLF","Persons Employed by Sex by Industry, ANZSIC06 - Sampling Errors","Sampling Errors","Sex","Industry ANZSIC06",,,"Sampling errors","Male","Agriculture, Forestry and Fishing",,,3,3,3,"NUMBER",2009.06,8.5,"F"
"HLF","SJC",4333,"HLFQ.SJCSE1AA","Household Labour Force Survey - HLF","Persons Employed by Sex by Industry, ANZSIC06 - Sampling Errors","Sampling Errors","Sex","Industry ANZSIC06",,,"Sampling errors","Male","Agriculture, Forestry and Fishing",,,3,3,3,"NUMBER",2009.09,9.6,"F"
"HLF","SJC",4333,"HLFQ.SJCSE1AA","Household Labour Force Survey - HLF","Persons Employed by Sex by Industry, ANZSIC06 - Sampling Errors","Sampling Errors","Sex","Industry ANZSIC06",,,"Sampling errors","Male","Agriculture, Forestry and Fishing",,,3,3,3,"NUMBER",2009.12,10.2,"F"
"HLF","SJC",4333,"HLFQ.SJCSE1AA","Household Labour Force Survey - HLF","Persons Employed by Sex by Industry, ANZSIC06 - Sampling Errors","Sampling Errors","Sex","Industry ANZSIC06",,,"Sampling errors","Male","Agriculture, Forestry and Fishing",,,3,3,3,"NUMBER",2010.03,9.5,"F"
"HLF","SJC",4333,"HLFQ.SJCSE1AA","Household Labour Force Survey - HLF","Persons Employed by Sex by Industry, ANZSIC06 - Sampling Errors","Sampling Errors","Sex","Industry ANZSIC06",,,"Sampling errors","Male","Agriculture, Forestry and Fishing",,,3,3,3,"NUMBER",2010.06,10.0,"F"
"HLF","SJC",4333,"HLFQ.SJCSE1AA","Household Labour Force Survey - HLF","Persons Employed by Sex by Industry, ANZSIC06 - Sampling Errors","Sampling Errors","Sex","Industry ANZSIC06",,,"Sampling errors","Male","Agriculture, Forestry and Fishing",,,3,3,3,"NUMBER",2010.09,10.8,"F"
"HLF","SJC",4333,"HLFQ.SJCSE1AA","Household Labour Force Survey - HLF","Persons Employed by Sex by Industry, ANZSIC06 - Sampling Errors","Sampling Errors","Sex","Industry ANZSIC06",,,"Sampling errors","Male","Agriculture, Forestry and Fishing",,,3,3,3,"NUMBER",2010.12,10.2,"F"
"HLF","SJC",4333,"HLFQ.SJCSE1AA","Household Labour Force Survey - HLF","Persons Employed by Sex by Industry, ANZSIC06 - Sampling Errors","Sampling Errors","Sex","Industry ANZSIC06",,,"Sampling errors","Male","Agriculture, Forestry and Fishing",,,3,3,3,"NUMBER",2011.03,10.2,"F"
"HLF","SJC",4333,"HLFQ.SJCSE1AA","Household Labour Force Survey - HLF","Persons Employed by Sex by Industry, ANZSIC06 - Sampling Errors","Sampling Errors","Sex","Industry ANZSIC06",,,"Sampling errors","Male","Agriculture, Forestry and Fishing",,,3,3,3,"NUMBER",2011.06,9.3,"F"
"HLF","SJC",4333,"HLFQ.SJCSE1AA","Household Labour Force Survey - HLF","Persons Employed by Sex by Industry, ANZSIC06 - Sampling Errors","Sampling Errors","Sex","Industry ANZSIC06",,,"Sampling errors","Male","Agriculture, Forestry and Fishing",,,3,3,3,"NUMBER",2011.09,9.3,"F"
"HLF","SJC",4333,"HLFQ.SJCSE1AA","Household Labour Force Survey - HLF","Persons Employed by Sex by Industry, ANZSIC06 - Sampling Errors","Sampling Errors","Sex","Industry ANZSIC06",,,"Sampling errors","Male","Agriculture, Forestry and Fishing",,,3,3,3,"NUMBER",2011.12,8.7,"F"
"HLF","SJC",4333,"HLFQ.SJCSE1AA","Household Labour Force Survey - HLF","Persons Employed by Sex by Industry, ANZSIC06 - Sampling Errors","Sampling Errors","Sex","Industry ANZSIC06",,,"Sampling errors","Male","Agriculture, Forestry and Fishing",,,3,3,3,"NUMBER",2012.03,9.4,"F"
"HLF","SJC",4333,"HLFQ.SJCSE1AA","Household Labour Force Survey - HLF","Persons Employed by Sex by Industry, ANZSIC06 - Sampling Errors","Sampling Errors","Sex","Industry ANZSIC06",,,"Sampling errors","Male","Agriculture, Forestry and Fishing",,,3,3,3,"NUMBER",2012.06,7.9,"F"
"HLF","SJC",4333,"HLFQ.SJCSE1AA","Household Labour Force Survey - HLF","Persons Employed by Sex by Industry, ANZSIC06 - Sampling Errors","Sampling Errors","Sex","Industry ANZSIC06",,,"Sampling errors","Male","Agriculture, Forestry and Fishing",,,3,3,3,"NUMBER",2012.09,9.2,"F"
"HLF","SJC",4333,"HLFQ.SJCSE1AA","Household Labour Force Survey - HLF","Persons Employed by Sex by Industry, ANZSIC06 - Sampling Errors","Sampling Errors","Sex","Industry ANZSIC06",,,"Sampling errors","Male","Agriculture, Forestry and Fishing",,,3,3,3,"NUMBER",2012.12,8.6,"F"
"HLF","SJC",4333,"HLFQ.SJCSE1AA","Household Labour Force Survey - HLF","Persons Employed by Sex by Industry, ANZSIC06 - Sampling Errors","Sampling Errors","Sex","Industry ANZSIC06",,,"Sampling errors","Male","Agriculture, Forestry and Fishing",,,3,3,3,"NUMBER",2013.03,10.2,"F"
"HLF","SJC",4333,"HLFQ.SJCSE1AA","Household Labour Force Survey - HLF","Persons Employed by Sex by Industry, ANZSIC06 - Sampling Errors","Sampling Errors","Sex","Industry ANZSIC06",,,"Sampling errors","Male","Agriculture, Forestry and Fishing",,,3,3,3,"NUMBER",2013.06,10.1,"F"
"HLF","SJC",4333,"HLFQ.SJCSE1AA","Household Labour Force Survey - HLF","Persons Employed by Sex by Industry, ANZSIC06 - Sampling Errors","Sampling Errors","Sex","Industry ANZSIC06",,,"Sampling errors","Male","Agriculture, Forestry and Fishing",,,3,3,3,"NUMBER",2013.09,9.2,"F"
"HLF","SJC",4333,"HLFQ.SJCSE1AA","Household Labour Force Survey - HLF","Persons Employed by Sex by Industry, ANZSIC06 - Sampling Errors","Sampling Errors","Sex","Industry ANZSIC06",,,"Sampling errors","Male","Agriculture, Forestry and Fishing",,,3,3,3,"NUMBER",2013.12,9.0,"F"
"HLF","SJC",4333,"HLFQ.SJCSE1AA","Household Labour Force Survey - HLF","Persons Employed by Sex by Industry, ANZSIC06 - Sampling Errors","Sampling Errors","Sex","Industry ANZSIC06",,,"Sampling errors","Male","Agriculture, Forestry and Fishing",,,3,3,3,"NUMBER",2014.03,10.2,"F"
"HLF","SJC",4333,"HLFQ.SJCSE1AA","Household Labour Force Survey - HLF","Persons Employed by Sex by Industry, ANZSIC06 - Sampling Errors","Sampling Errors","Sex","Industry ANZSIC06",,,"Sampling errors","Male","Agriculture, Forestry and Fishing",,,3,3,3,"NUMBER",2014.06,8.6,"F"
"HLF","SJC",4333,"HLFQ.SJCSE1AA","Household Labour Force Survey - HLF","Persons Employed by Sex by Industry, ANZSIC06 - Sampling Errors","Sampling Errors","Sex","Industry ANZSIC06",,,"Sampling errors","Male","Agriculture, Forestry and Fishing",,,3,3,3,"NUMBER",2014.09,8.3,"F"
"HLF","SJC",4333,"HLFQ.SJCSE1AA","Household Labour Force Survey - HLF","Persons Employed by Sex by Industry, ANZSIC06 - Sampling Errors","Sampling Errors","Sex","Industry ANZSIC06",,,"Sampling errors","Male","Agriculture, Forestry and Fishing",,,3,3,3,"NUMBER",2014.12,9.4,"F"
"HLF","SJC",4333,"HLFQ.SJCSE1AA","Household Labour Force Survey - HLF","Persons Employed by Sex by Industry, ANZSIC06 - Sampling Errors","Sampling Errors","Sex","Industry ANZSIC06",,,"Sampling errors","Male","Agriculture, Forestry and Fishing",,,3,3,3,"NUMBER",2015.03,9.6,"F"
"HLF","SJC",4333,"HLFQ.SJCSE1AA","Household Labour Force Survey - HLF","Persons Employed by Sex by Industry, ANZSIC06 - Sampling Errors","Sampling Errors","Sex","Industry ANZSIC06",,,"Sampling errors","Male","Agriculture, Forestry and Fishing",,,3,3,3,"NUMBER",2015.06,9.4,"F"
"HLF","SJC",4333,"HLFQ.SJCSE1AA","Household Labour Force Survey - HLF","Persons Employed by Sex by Industry, ANZSIC06 - Sampling Errors","Sampling Errors","Sex","Industry ANZSIC06",,,"Sampling errors","Male","Agriculture, Forestry and Fishing",,,3,3,3,"NUMBER",2015.09,9.4,"F"
"HLF","SJC",4333,"HLFQ.SJCSE1AA","Household Labour Force Survey - HLF","Persons Employed by Sex by Industry, ANZSIC06 - Sampling Errors","Sampling Errors","Sex","Industry ANZSIC06",,,"Sampling errors","Male","Agriculture, Forestry and Fishing",,,3,3,3,"NUMBER",2015.12,9.9,"F"
"HLF","SJC",4333,"HLFQ.SJCSE1AA","Household Labour Force Survey - HLF","Persons Employed by Sex by Industry, ANZSIC06 - Sampling Errors","Sampling Errors","Sex","Industry ANZSIC06",,,"Sampling errors","Male","Agriculture, Forestry and Fishing",,,3,3,3,"NUMBER",2016.03,11.4,"F"
"HLF","SJC",4333,"HLFQ.SJCSE1AA","Household Labour Force Survey - HLF","Persons Employed by Sex by Industry, ANZSIC06 - Sampling Errors","Sampling Errors","Sex","Industry ANZSIC06",,,"Sampling errors","Male","Agriculture, Forestry and Fishing",,,3,3,3,"NUMBER",2016.06,13.1,"F"
"HLF","SJC",4333,"HLFQ.SJCSE1AA","Household Labour Force Survey - HLF","Persons Employed by Sex by Industry, ANZSIC06 - Sampling Errors","Sampling Errors","Sex","Industry ANZSIC06",,,"Sampling errors","Male","Agriculture, Forestry and Fishing",,,3,3,3,"NUMBER",2016.09,13.1,"F"
"HLF","SJC",4333,"HLFQ.SJCSE1AA","Household Labour Force Survey - HLF","Persons Employed by Sex by Industry, ANZSIC06 - Sampling Errors","Sampling Errors","Sex","Industry ANZSIC06",,,"Sampling errors","Male","Agriculture, Forestry and Fishing",,,3,3,3,"NUMBER",2016.12,12.6,"F"
"HLF","SJC",4333,"HLFQ.SJCSE1AA","Household Labour Force Survey - HLF","Persons Employed by Sex by Industry, ANZSIC06 - Sampling Errors","Sampling Errors","Sex","Industry ANZSIC06",,,"Sampling errors","Male","Agriculture, Forestry and Fishing",,,3,3,3,"NUMBER",2017.03,12.0,"F"
"HLF","SJC",4333,"HLFQ.SJCSE1AA","Household Labour Force Survey - HLF","Persons Employed by Sex by Industry, ANZSIC06 - Sampling Errors","Sampling Errors","Sex","Industry ANZSIC06",,,"Sampling errors","Male","Agriculture, Forestry and Fishing",,,3,3,3,"NUMBER",2017.06,12.5,"F"
"HLF","SJC",4333,"HLFQ.SJCSE1AA","Household Labour Force Survey - HLF","Persons Employed by Sex by Industry, ANZSIC06 - Sampling Errors","Sampling Errors","Sex","Industry ANZSIC06",,,"Sampling errors","Male","Agriculture, Forestry and Fishing",,,3,3,3,"NUMBER",2017.09,12.1,"F"
"HLF","SJC",4333,"HLFQ.SJCSE1AA","Household Labour Force Survey - HLF","Persons Employed by Sex by Industry, ANZSIC06 - Sampling Errors","Sampling Errors","Sex","Industry ANZSIC06",,,"Sampling errors","Male","Agriculture, Forestry and Fishing",,,3,3,3,"NUMBER",2017.12,14.0,"F"
"HLF","SJC",4333,"HLFQ.SJCSE1AA","Household Labour Force Survey - HLF","Persons Employed by Sex by Industry, ANZSIC06 - Sampling Errors","Sampling Errors","Sex","Industry ANZSIC06",,,"Sampling errors","Male","Agriculture, Forestry and Fishing",,,3,3,3,"NUMBER",2018.03,13.9,"F"
"HLF","SJC",4333,"HLFQ.SJCSE1AA","Household Labour Force Survey - HLF","Persons Employed by Sex by Industry, ANZSIC06 - Sampling Errors","Sampling Errors","Sex","Industry ANZSIC06",,,"Sampling errors","Male","Agriculture, Forestry and Fishing",,,3,3,3,"NUMBER",2018.06,12.3,"F"
"HLF","SJC",4333,"HLFQ.SJCSE1AA","Household Labour Force Survey - HLF","Persons Employed by Sex by Industry, ANZSIC06 - Sampling Errors","Sampling Errors","Sex","Industry ANZSIC06",,,"Sampling errors","Male","Agriculture, Forestry and Fishing",,,3,3,3,"NUMBER",2018.09,13.2,"F"
"HLF","SJC",4333,"HLFQ.SJCSE1AA","Household Labour Force Survey - HLF","Persons Employed by Sex by Industry, ANZSIC06 - Sampling Errors","Sampling Errors","Sex","Industry ANZSIC06",,,"Sampling errors","Male","Agriculture, Forestry and Fishing",,,3,3,3,"NUMBER",2018.12,12.8,"F"
"HLF","SJC",4333,"HLFQ.SJCSE1AA","Household Labour Force Survey - HLF","Persons Employed by Sex by Industry, ANZSIC06 - Sampling Errors","Sampling Errors","Sex","Industry ANZSIC06",,,"Sampling errors","Male","Agriculture, Forestry and Fishing",,,3,3,3,"NUMBER",2019.03,13.1,"F"
"HLF","SJC",4333,"HLFQ.SJCSE1AA","Household Labour Force Survey - HLF","Persons Employed by Sex by Industry, ANZSIC06 - Sampling Errors","Sampling Errors","Sex","Industry ANZSIC06",,,"Sampling errors","Male","Agriculture, Forestry and Fishing",,,3,3,3,"NUMBER",2019.06,12.7,"F"
"HLF","SJC",4333,"HLFQ.SJCSE1AA","Household Labour Force Survey - HLF","Persons Employed by Sex by Industry, ANZSIC06 - Sampling Errors","Sampling Errors","Sex","Industry ANZSIC06",,,"Sampling errors","Male","Agriculture, Forestry and Fishing",,,3,3,3,"NUMBER",2019.09,12.0,"F"
"HLF","SJC",4333,"HLFQ.SJCSE1BB","Household Labour Force Survey - HLF","Persons Employed by Sex by Industry, ANZSIC06 - Sampling Errors","Sampling Errors","Sex","Industry ANZSIC06",,,"Sampling errors","Male","Mining",,,3,3,3,"NUMBER",2005.06,null,"F"
"HLF","SJC",4333,"HLFQ.SJCSE1BB","Household Labour Force Survey - HLF","Persons Employed by Sex by Industry, ANZSIC06 - Sampling Errors","Sampling Errors","Sex","Industry ANZSIC06",,,"Sampling errors","Male","Mining",,,3,3,3,"NUMBER",2005.09,null,"F"
"HLF","SJC",4333,"HLFQ.SJCSE1BB","Household Labour Force Survey - HLF","Persons Employed by Sex by Industry, ANZSIC06 - Sampling Errors","Sampling Errors","Sex","Industry ANZSIC06",,,"Sampling errors","Male","Mining",,,3,3,3,"NUMBER",2005.12,null,"F"
"HLF","SJC",4333,"HLFQ.SJCSE1BB","Household Labour Force Survey - HLF","Persons Employed by Sex by Industry, ANZSIC06 - Sampling Errors","Sampling Errors","Sex","Industry ANZSIC06",,,"Sampling errors","Male","Mining",,,3,3,3,"NUMBER",2006.03,null,"F"
"HLF","SJC",4333,"HLFQ.SJCSE1BB","Household Labour Force Survey - HLF","Persons Employed by Sex by Industry, ANZSIC06 - Sampling Errors","Sampling Errors","Sex","Industry ANZSIC06",,,"Sampling errors","Male","Mining",,,3,3,3,"NUMBER",2006.06,null,"F"
"HLF","SJC",4333,"HLFQ.SJCSE1BB","Household Labour Force Survey - HLF","Persons Employed by Sex by Industry, ANZSIC06 - Sampling Errors","Sampling Errors","Sex","Industry ANZSIC06",,,"Sampling errors","Male","Mining",,,3,3,3,"NUMBER",2006.09,null,"F"
"HLF","SJC",4333,"HLFQ.SJCSE1BB","Household Labour Force Survey - HLF","Persons Employed by Sex by Industry, ANZSIC06 - Sampling Errors","Sampling Errors","Sex","Industry ANZSIC06",,,"Sampling errors","Male","Mining",,,3,3,3,"NUMBER",2006.12,null,"F"
"HLF","SJC",4333,"HLFQ.SJCSE1BB","Household Labour Force Survey - HLF","Persons Employed by Sex by Industry, ANZSIC06 - Sampling Errors","Sampling Errors","Sex","Industry ANZSIC06",,,"Sampling errors","Male","Mining",,,3,3,3,"NUMBER",2007.03,null,"F"
"HLF","SJC",4333,"HLFQ.SJCSE1BB","Household Labour Force Survey - HLF","Persons Employed by Sex by Industry, ANZSIC06 - Sampling Errors","Sampling Errors","Sex","Industry ANZSIC06",,,"Sampling errors","Male","Mining",,,3,3,3,"NUMBER",2007.06,null,"F"
"HLF","SJC",4333,"HLFQ.SJCSE1BB","Household Labour Force Survey - HLF","Persons Employed by Sex by Industry, ANZSIC06 - Sampling Errors","Sampling Errors","Sex","Industry ANZSIC06",,,"Sampling errors","Male","Mining",,,3,3,3,"NUMBER",2007.09,null,"F"
"HLF","SJC",4333,"HLFQ.SJCSE1BB","Household Labour Force Survey - HLF","Persons Employed by Sex by Industry, ANZSIC06 - Sampling Errors","Sampling Errors","Sex","Industry ANZSIC06",,,"Sampling errors","Male","Mining",,,3,3,3,"NUMBER",2007.12,null,"F"
"HLF","SJC",4333,"HLFQ.SJCSE1BB","Household Labour Force Survey - HLF","Persons Employed by Sex by Industry, ANZSIC06 - Sampling Errors","Sampling Errors","Sex","Industry ANZSIC06",,,"Sampling errors","Male","Mining",,,3,3,3,"NUMBER",2008.03,null,"F"
"HLF","SJC",4333,"HLFQ.SJCSE1BB","Household Labour Force Survey - HLF","Persons Employed by Sex by Industry, ANZSIC06 - Sampling Errors","Sampling Errors","Sex","Industry ANZSIC06",,,"Sampling errors","Male","Mining",,,3,3,3,"NUMBER",2008.06,null,"F"
"HLF","SJC",4333,"HLFQ.SJCSE1BB","Household Labour Force Survey - HLF","Persons Employed by Sex by Industry, ANZSIC06 - Sampling Errors","Sampling Errors","Sex","Industry ANZSIC06",,,"Sampling errors","Male","Mining",,,3,3,3,"NUMBER",2008.09,null,"F"
"HLF","SJC",4333,"HLFQ.SJCSE1BB","Household Labour Force Survey - HLF","Persons Employed by Sex by Industry, ANZSIC06 - Sampling Errors","Sampling Errors","Sex","Industry ANZSIC06",,,"Sampling errors","Male","Mining",,,3,3,3,"NUMBER",2008.12,null,"F"
"HLF","SJC",4333,"HLFQ.SJCSE1BB","Household Labour Force Survey - HLF","Persons Employed by Sex by Industry, ANZSIC06 - Sampling Errors","Sampling Errors","Sex","Industry ANZSIC06",,,"Sampling errors","Male","Mining",,,3,3,3,"NUMBER",2009.03,1.8,"F"
"HLF","SJC",4333,"HLFQ.SJCSE1BB","Household Labour Force Survey - HLF","Persons Employed by Sex by Industry, ANZSIC06 - Sampling Errors","Sampling Errors","Sex","Industry ANZSIC06",,,"Sampling errors","Male","Mining",,,3,3,3,"NUMBER",2009.06,1.4,"F"
"HLF","SJC",4333,"HLFQ.SJCSE1BB","Household Labour Force Survey - HLF","Persons Employed by Sex by Industry, ANZSIC06 - Sampling Errors","Sampling Errors","Sex","Industry ANZSIC06",,,"Sampling errors","Male","Mining",,,3,3,3,"NUMBER",2009.09,1.9,"F"
"HLF","SJC",4333,"HLFQ.SJCSE1BB","Household Labour Force Survey - HLF","Persons Employed by Sex by Industry, ANZSIC06 - Sampling Errors","Sampling Errors","Sex","Industry ANZSIC06",,,"Sampling errors","Male","Mining",,,3,3,3,"NUMBER",2009.12,2.1,"F"
"HLF","SJC",4333,"HLFQ.SJCSE1BB","Household Labour Force Survey - HLF","Persons Employed by Sex by Industry, ANZSIC06 - Sampling Errors","Sampling Errors","Sex","Industry ANZSIC06",,,"Sampling errors","Male","Mining",,,3,3,3,"NUMBER",2010.03,1.8,"F"
"HLF","SJC",4333,"HLFQ.SJCSE1BB","Household Labour Force Survey - HLF","Persons Employed by Sex by Industry, ANZSIC06 - Sampling Errors","Sampling Errors","Sex","Industry ANZSIC06",,,"Sampling errors","Male","Mining",,,3,3,3,"NUMBER",2010.06,1.8,"F"
"HLF","SJC",4333,"HLFQ.SJCSE1BB","Household Labour Force Survey - HLF","Persons Employed by Sex by Industry, ANZSIC06 - Sampling Errors","Sampling Errors","Sex","Industry ANZSIC06",,,"Sampling errors","Male","Mining",,,3,3,3,"NUMBER",2010.09,2.0,"F"
"HLF","SJC",4333,"HLFQ.SJCSE1BB","Household Labour Force Survey - HLF","Persons Employed by Sex by Industry, ANZSIC06 - Sampling Errors","Sampling Errors","Sex","Industry ANZSIC06",,,"Sampling errors","Male","Mining",,,3,3,3,"NUMBER",2010.12,1.9,"F"
"HLF","SJC",4333,"HLFQ.SJCSE1BB","Household Labour Force Survey - HLF","Persons Employed by Sex by Industry, ANZSIC06 - Sampling Errors","Sampling Errors","Sex","Industry ANZSIC06",,,"Sampling errors","Male","Mining",,,3,3,3,"NUMBER",2011.03,1.6,"F"
"HLF","SJC",4333,"HLFQ.SJCSE1BB","Household Labour Force Survey - HLF","Persons Employed by Sex by Industry, ANZSIC06 - Sampling Errors","Sampling Errors","Sex","Industry ANZSIC06",,,"Sampling errors","Male","Mining",,,3,3,3,"NUMBER",2011.06,2.0,"F"
"HLF","SJC",4333,"HLFQ.SJCSE1BB","Household Labour Force Survey - HLF","Persons Employed by Sex by Industry, ANZSIC06 - Sampling Errors","Sampling Errors","Sex","Industry ANZSIC06",,,"Sampling errors","Male","Mining",,,3,3,3,"NUMBER",2011.09,3.5,"F"
"HLF","SJC",4333,"HLFQ.SJCSE1BB","Household Labour Force Survey - HLF","Persons Employed by Sex by Industry, ANZSIC06 - Sampling Errors","Sampling Errors","Sex","Industry ANZSIC06",,,"Sampling errors","Male","Mining",,,3,3,3,"NUMBER",2011.12,1.6,"F"
"HLF","SJC",4333,"HLFQ.SJCSE1BB","Household Labour Force Survey - HLF","Persons Employed by Sex by Industry, ANZSIC06 - Sampling Errors","Sampling Errors","Sex","Industry ANZSIC06",,,"Sampling errors","Male","Mining",,,3,3,3,"NUMBER",2012.03,1.8,"F"
"HLF","SJC",4333,"HLFQ.SJCSE1BB","Household Labour Force Survey - HLF","Persons Employed by Sex by Industry, ANZSIC06 - Sampling Errors","Sampling Errors","Sex","Industry ANZSIC06",,,"Sampling errors","Male","Mining",,,3,3,3,"NUMBER",2012.06,1.6,"F"
"HLF","SJC",4333,"HLFQ.SJCSE1BB","Household Labour Force Survey - HLF","Persons Employed by Sex by Industry, ANZSIC06 - Sampling Errors","Sampling Errors","Sex","Industry ANZSIC06",,,"Sampling errors","Male","Mining",,,3,3,3,"NUMBER",2012.09,2.3,"F"
"HLF","SJC",4333,"HLFQ.SJCSE1BB","Household Labour Force Survey - HLF","Persons Employed by Sex by Industry, ANZSIC06 - Sampling Errors","Sampling Errors","Sex","Industry ANZSIC06",,,"Sampling errors","Male","Mining",,,3,3,3,"NUMBER",2012.12,2.3,"F"
"HLF","SJC",4333,"HLFQ.SJCSE1BB","Household Labour Force Survey - HLF","Persons Employed by Sex by Industry, ANZSIC06 - Sampling Errors","Sampling Errors","Sex","Industry ANZSIC06",,,"Sampling errors","Male","Mining",,,3,3,3,"NUMBER",2013.03,2.3,"F"
"HLF","SJC",4333,"HLFQ.SJCSE1BB","Household Labour Force Survey - HLF","Persons Employed by Sex by Industry, ANZSIC06 - Sampling Errors","Sampling Errors","Sex","Industry ANZSIC06",,,"Sampling errors","Male","Mining",,,3,3,3,"NUMBER",2013.06,1.7,"F"
"HLF","SJC",4333,"HLFQ.SJCSE1BB","Household Labour Force Survey - HLF","Persons Employed by Sex by Industry, ANZSIC06 - Sampling Errors","Sampling Errors","Sex","Industry ANZSIC06",,,"Sampling errors","Male","Mining",,,3,3,3,"NUMBER",2013.09,1.7,"F"
