 subject_code,family_code,family_nbr,series_code,subject_title,family_title,var_1,var_2,var_3,var_4,var_5,val_1,val_2,val_3,val_4,val_5,interval,offset,magnitude,unit,period,value,status,
HLF,SJC,3478,HLFA.SJC1AA,Household Labour Force Survey - HLF,"Persons Employed by Sex by Industry, ANZSIC06",Sex,Industry ANZSIC06,,,,Male,"Agriculture, Forestry and Fishing",,,,12,3,3,NUMBER,2014.03,100.2,F,
HLF,SJC,3478,HLFA.SJC1AA,Household Labour Force Survey - HLF,"Persons Employed by Sex by Industry, ANZSIC06",Sex,Industry ANZSIC06,,,,Male,"Agriculture, Forestry and Fishing",,,,12,3,3,NUMBER,2015.03,99.3,F,
HLF,SJC,3478,HLFA.SJC1AA,Household Labour Force Survey - HLF,"Persons Employed by Sex by Industry, ANZSIC06",Sex,Industry ANZSIC06,,,,Male,"Agriculture, Forestry and Fishing",,,,12,3,3,NUMBER,2016.03,101.8,F,
HLF,SJC,3478,HLFA.SJC1AA,Household Labour Force Survey - HLF,"Persons Employed by Sex by Industry, ANZSIC06",Sex,Industry ANZSIC06,,,,Male,"Agriculture, Forestry and Fishing",,,,12,3,3,NUMBER,2017.03,108.1,F,
HLF,SJC,3478,HLFA.SJC1AA,Household Labour Force Survey - HLF,"Persons Employed by Sex by Industry, ANZSIC06",Sex,Industry ANZSIC06,,,,Male,"Agriculture, Forestry and Fishing",,,,12,3,3,NUMBER,2018.03,105.5,F,
HLF,SJC,3478,HLFA.SJC1AA,Household Labour Force Survey - HLF,"Persons Employed by Sex by Industry, ANZSIC06",Sex,Industry ANZSIC06,,,,Male,"Agriculture, Forestry and Fishing",,,,12,3,3,NUMBER,2019.03,103.5,F,
HLF,SJC,3478,HLFA.SJC1AAD,Household Labour Force Survey - HLF,"Persons Employed by Sex by Industry, ANZSIC06",Sex,Industry ANZSIC06,,,,Male,"Agriculture, Forestry and Fishing",,,,12,3,12,NUMBER,2003.12,106.7,F,
HLF,SJC,3478,HLFA.SJC1AAD,Household Labour Force Survey - HLF,"Persons Employed by Sex by Industry, ANZSIC06",Sex,Industry ANZSIC06,,,,Male,"Agriculture, Forestry and Fishing",,,,12,3,12,NUMBER,2004.12,101,F,
HLF,SJC,3478,HLFA.SJC1AAD,Household Labour Force Survey - HLF,"Persons Employed by Sex by Industry, ANZSIC06",Sex,Industry ANZSIC06,,,,Male,"Agriculture, Forestry and Fishing",,,,12,3,12,NUMBER,2005.12,97,F,
HLF,SJC,3478,HLFA.SJC1AAD,Household Labour Force Survey - HLF,"Persons Employed by Sex by Industry, ANZSIC06",Sex,Industry ANZSIC06,,,,Male,"Agriculture, Forestry and Fishing",,,,12,3,12,NUMBER,2006.12,98.7,F,
HLF,SJC,3478,HLFA.SJC1AAD,Household Labour Force Survey - HLF,"Persons Employed by Sex by Industry, ANZSIC06",Sex,Industry ANZSIC06,,,,Male,"Agriculture, Forestry and Fishing",,,,12,3,12,NUMBER,2007.12,101.6,F,
HLF,SJC,3478,HLFA.SJC1AAD,Household Labour Force Survey - HLF,"Persons Employed by Sex by Industry, ANZSIC06",Sex,Industry ANZSIC06,,,,Male,"Agriculture, Forestry and Fishing",,,,12,3,12,NUMBER,2008.12,97.1,F,
HLF,SJC,3478,HLFA.SJC1AAD,Household Labour Force Survey - HLF,"Persons Employed by Sex by Industry, ANZSIC06",Sex,Industry ANZSIC06,,,,Male,"Agriculture, Forestry and Fishing",,,,12,3,12,NUMBER,2009.12,95.7,F,
HLF,SJC,3478,HLFA.SJC1AAD,Household Labour Force Survey - HLF,"Persons Employed by Sex by Industry, ANZSIC06",Sex,Industry ANZSIC06,,,,Male,"Agriculture, Forestry and Fishing",,,,12,3,12,NUMBER,2010.12,101.3,F,
HLF,SJC,3478,HLFA.SJC1AAD,Household Labour Force Survey - HLF,"Persons Employed by Sex by Industry, ANZSIC06",Sex,Industry ANZSIC06,,,,Male,"Agriculture, Forestry and Fishing",,,,12,3,12,NUMBER,2011.12,103.5,F,
HLF,SJC,3478,HLFA.SJC1AAD,Household Labour Force Survey - HLF,"Persons Employed by Sex by Industry, ANZSIC06",Sex,Industry ANZSIC06,,,,Male,"Agriculture, Forestry and Fishing",,,,12,3,12,NUMBER,2012.12,101.5,F,
HLF,SJC,3478,HLFA.SJC1AAD,Household Labour Force Survey - HLF,"Persons Employed by Sex by Industry, ANZSIC06",Sex,Industry ANZSIC06,,,,Male,"Agriculture, Forestry and Fishing",,,,12,3,12,NUMBER,2013.12,98.4,F,
HLF,SJC,3478,HLFA.SJC1AAD,Household Labour Force Survey - HLF,"Persons Employed by Sex by Industry, ANZSIC06",Sex,Industry ANZSIC06,,,,Male,"Agriculture, Forestry and Fishing",,,,12,3,12,NUMBER,2014.12,100.2,F,
HLF,SJC,3478,HLFA.SJC1AAD,Household Labour Force Survey - HLF,"Persons Employed by Sex by Industry, ANZSIC06",Sex,Industry ANZSIC06,,,,Male,"Agriculture, Forestry and Fishing",,,,12,3,12,NUMBER,2015.12,99.6,F,
HLF,SJC,3478,HLFA.SJC1AAD,Household Labour Force Survey - HLF,"Persons Employed by Sex by Industry, ANZSIC06",Sex,Industry ANZSIC06,,,,Male,"Agriculture, Forestry and Fishing",,,,12,3,12,NUMBER,2016.12,109,F,
HLF,SJC,3478,HLFA.SJC1AAD,Household Labour Force Survey - HLF,"Persons Employed by Sex by Industry, ANZSIC06",Sex,Industry ANZSIC06,,,,Male,"Agriculture, Forestry and Fishing",,,,12,3,12,NUMBER,2017.12,107,F,
HLF,SJC,3478,HLFA.SJC1AAD,Household Labour Force Survey - HLF,"Persons Employed by Sex by Industry, ANZSIC06",Sex,Industry ANZSIC06,,,,Male,"Agriculture, Forestry and Fishing",,,,12,3,12,NUMBER,2018.12,103.8,F,
HLF,SJC,3478,HLFA.SJC1AAJ,Household Labour Force Survey - HLF,"Persons Employed by Sex by Industry, ANZSIC06",Sex,Industry ANZSIC06,,,,Male,"Agriculture, Forestry and Fishing",,,,12,3,6,NUMBER,2004.06,101.3,F,
HLF,SJC,3478,HLFA.SJC1AAJ,Household Labour Force Survey - HLF,"Persons Employed by Sex by Industry, ANZSIC06",Sex,Industry ANZSIC06,,,,Male,"Agriculture, Forestry and Fishing",,,,12,3,6,NUMBER,2005.06,98.8,F,
HLF,SJC,3478,HLFA.SJC1AAJ,Household Labour Force Survey - HLF,"Persons Employed by Sex by Industry, ANZSIC06",Sex,Industry ANZSIC06,,,,Male,"Agriculture, Forestry and Fishing",,,,12,3,6,NUMBER,2006.06,99.8,F,
HLF,SJC,3478,HLFA.SJC1AAJ,Household Labour Force Survey - HLF,"Persons Employed by Sex by Industry, ANZSIC06",Sex,Industry ANZSIC06,,,,Male,"Agriculture, Forestry and Fishing",,,,12,3,6,NUMBER,2007.06,99.6,F,
HLF,SJC,3478,HLFA.SJC1AAJ,Household Labour Force Survey - HLF,"Persons Employed by Sex by Industry, ANZSIC06",Sex,Industry ANZSIC06,,,,Male,"Agriculture, Forestry and Fishing",,,,12,3,6,NUMBER,2008.06,101,F,
HLF,SJC,3478,HLFA.SJC1AAJ,Household Labour Force Survey - HLF,"Persons Employed by Sex by Industry, ANZSIC06",Sex,Industry ANZSIC06,,,,Male,"Agriculture, Forestry and Fishing",,,,12,3,6,NUMBER,2009.06,95.2,F,
HLF,SJC,3478,HLFA.SJC1AAJ,Household Labour Force Survey - HLF,"Persons Employed by Sex by Industry, ANZSIC06",Sex,Industry ANZSIC06,,,,Male,"Agriculture, Forestry and Fishing",,,,12,3,6,NUMBER,2010.06,97.6,F,
HLF,SJC,3478,HLFA.SJC1AAJ,Household Labour Force Survey - HLF,"Persons Employed by Sex by Industry, ANZSIC06",Sex,Industry ANZSIC06,,,,Male,"Agriculture, Forestry and Fishing",,,,12,3,6,NUMBER,2011.06,104.6,F,
HLF,SJC,3478,HLFA.SJC1AAJ,Household Labour Force Survey - HLF,"Persons Employed by Sex by Industry, ANZSIC06",Sex,Industry ANZSIC06,,,,Male,"Agriculture, Forestry and Fishing",,,,12,3,6,NUMBER,2012.06,101,F,
HLF,SJC,3478,HLFA.SJC1AAJ,Household Labour Force Survey - HLF,"Persons Employed by Sex by Industry, ANZSIC06",Sex,Industry ANZSIC06,,,,Male,"Agriculture, Forestry and Fishing",,,,12,3,6,NUMBER,2013.06,100.6,F,
HLF,SJC,3478,HLFA.SJC1AAJ,Household Labour Force Survey - HLF,"Persons Employed by Sex by Industry, ANZSIC06",Sex,Industry ANZSIC06,,,,Male,"Agriculture, Forestry and Fishing",,,,12,3,6,NUMBER,2014.06,99.7,F,
HLF,SJC,3478,HLFA.SJC1AAJ,Household Labour Force Survey - HLF,"Persons Employed by Sex by Industry, ANZSIC06",Sex,Industry ANZSIC06,,,,Male,"Agriculture, Forestry and Fishing",,,,12,3,6,NUMBER,2015.06,99.3,F,
HLF,SJC,3478,HLFA.SJC1AAJ,Household Labour Force Survey - HLF,"Persons Employed by Sex by Industry, ANZSIC06",Sex,Industry ANZSIC06,,,,Male,"Agriculture, Forestry and Fishing",,,,12,3,6,NUMBER,2016.06,104,F,
HLF,SJC,3478,HLFA.SJC1AAJ,Household Labour Force Survey - HLF,"Persons Employed by Sex by Industry, ANZSIC06",Sex,Industry ANZSIC06,,,,Male,"Agriculture, Forestry and Fishing",,,,12,3,6,NUMBER,2017.06,106.9,F,
HLF,SJC,3478,HLFA.SJC1AAJ,Household Labour Force Survey - HLF,"Persons Employed by Sex by Industry, ANZSIC06",Sex,Industry ANZSIC06,,,,Male,"Agriculture, Forestry and Fishing",,,,12,3,6,NUMBER,2018.06,106.1,F,
HLF,SJC,3478,HLFA.SJC1AAJ,Household Labour Force Survey - HLF,"Persons Employed by Sex by Industry, ANZSIC06",Sex,Industry ANZSIC06,,,,Male,"Agriculture, Forestry and Fishing",,,,12,3,6,NUMBER,2019.06,103.7,F,
HLF,SJC,3478,HLFA.SJC1AAS,Household Labour Force Survey - HLF,"Persons Employed by Sex by Industry, ANZSIC06",Sex,Industry ANZSIC06,,,,Male,"Agriculture, Forestry and Fishing",,,,12,3,9,NUMBER,2004.09,101.8,F,
HLF,SJC,3478,HLFA.SJC1AAS,Household Labour Force Survey - HLF,"Persons Employed by Sex by Industry, ANZSIC06",Sex,Industry ANZSIC06,,,,Male,"Agriculture, Forestry and Fishing",,,,12,3,9,NUMBER,2005.09,97.2,F,
HLF,SJC,3478,HLFA.SJC1AAS,Household Labour Force Survey - HLF,"Persons Employed by Sex by Industry, ANZSIC06",Sex,Industry ANZSIC06,,,,Male,"Agriculture, Forestry and Fishing",,,,12,3,9,NUMBER,2006.09,98.6,F,
HLF,SJC,3478,HLFA.SJC1AAS,Household Labour Force Survey - HLF,"Persons Employed by Sex by Industry, ANZSIC06",Sex,Industry ANZSIC06,,,,Male,"Agriculture, Forestry and Fishing",,,,12,3,9,NUMBER,2007.09,101.6,F,
HLF,SJC,3478,HLFA.SJC1AAS,Household Labour Force Survey - HLF,"Persons Employed by Sex by Industry, ANZSIC06",Sex,Industry ANZSIC06,,,,Male,"Agriculture, Forestry and Fishing",,,,12,3,9,NUMBER,2008.09,98.5,F,
HLF,SJC,3478,HLFA.SJC1AAS,Household Labour Force Survey - HLF,"Persons Employed by Sex by Industry, ANZSIC06",Sex,Industry ANZSIC06,,,,Male,"Agriculture, Forestry and Fishing",,,,12,3,9,NUMBER,2009.09,95,F,
HLF,SJC,3478,HLFA.SJC1AAS,Household Labour Force Survey - HLF,"Persons Employed by Sex by Industry, ANZSIC06",Sex,Industry ANZSIC06,,,,Male,"Agriculture, Forestry and Fishing",,,,12,3,9,NUMBER,2010.09,100.8,F,
HLF,SJC,3478,HLFA.SJC1AAS,Household Labour Force Survey - HLF,"Persons Employed by Sex by Industry, ANZSIC06",Sex,Industry ANZSIC06,,,,Male,"Agriculture, Forestry and Fishing",,,,12,3,9,NUMBER,2011.09,103.5,F,
HLF,SJC,3478,HLFA.SJC1AAS,Household Labour Force Survey - HLF,"Persons Employed by Sex by Industry, ANZSIC06",Sex,Industry ANZSIC06,,,,Male,"Agriculture, Forestry and Fishing",,,,12,3,9,NUMBER,2012.09,102.2,F,
HLF,SJC,3478,HLFA.SJC1AAS,Household Labour Force Survey - HLF,"Persons Employed by Sex by Industry, ANZSIC06",Sex,Industry ANZSIC06,,,,Male,"Agriculture, Forestry and Fishing",,,,12,3,9,NUMBER,2013.09,98.3,F,
HLF,SJC,3478,HLFA.SJC1AAS,Household Labour Force Survey - HLF,"Persons Employed by Sex by Industry, ANZSIC06",Sex,Industry ANZSIC06,,,,Male,"Agriculture, Forestry and Fishing",,,,12,3,9,NUMBER,2014.09,99.2,F,
HLF,SJC,3478,HLFA.SJC1AAS,Household Labour Force Survey - HLF,"Persons Employed by Sex by Industry, ANZSIC06",Sex,Industry ANZSIC06,,,,Male,"Agriculture, Forestry and Fishing",,,,12,3,9,NUMBER,2015.09,100.3,F,
HLF,SJC,3478,HLFA.SJC1AAS,Household Labour Force Survey - HLF,"Persons Employed by Sex by Industry, ANZSIC06",Sex,Industry ANZSIC06,,,,Male,"Agriculture, Forestry and Fishing",,,,12,3,9,NUMBER,2016.09,106.8,F,
HLF,SJC,3478,HLFA.SJC1AAS,Household Labour Force Survey - HLF,"Persons Employed by Sex by Industry, ANZSIC06",Sex,Industry ANZSIC06,,,,Male,"Agriculture, Forestry and Fishing",,,,12,3,9,NUMBER,2017.09,106.8,F,
HLF,SJC,3478,HLFA.SJC1AAS,Household Labour Force Survey - HLF,"Persons Employed by Sex by Industry, ANZSIC06",Sex,Industry ANZSIC06,,,,Male,"Agriculture, Forestry and Fishing",,,,12,3,9,NUMBER,2018.09,105.4,F,
HLF,SJC,3478,HLFA.SJC1AAS,Household Labour Force Survey - HLF,"Persons Employed by Sex by Industry, ANZSIC06",Sex,Industry ANZSIC06,,,,Male,"Agriculture, Forestry and Fishing",,,,12,3,9,NUMBER,2019.09,103.3,F,
HLF,SJC,3478,HLFA.SJC1BB,Household Labour Force Survey - HLF,"Persons Employed by Sex by Industry, ANZSIC06",Sex,Industry ANZSIC06,,,,Male,Mining,,,,12,3,3,NUMBER,2004.03,3.9,F,
HLF,SJC,3478,HLFA.SJC1BB,Household Labour Force Survey - HLF,"Persons Employed by Sex by Industry, ANZSIC06",Sex,Industry ANZSIC06,,,,Male,Mining,,,,12,3,3,NUMBER,2005.03,4.8,F,
HLF,SJC,3478,HLFA.SJC1BB,Household Labour Force Survey - HLF,"Persons Employed by Sex by Industry, ANZSIC06",Sex,Industry ANZSIC06,,,,Male,Mining,,,,12,3,3,NUMBER,2006.03,5.3,F,
HLF,SJC,3478,HLFA.SJC1BB,Household Labour Force Survey - HLF,"Persons Employed by Sex by Industry, ANZSIC06",Sex,Industry ANZSIC06,,,,Male,Mining,,,,12,3,3,NUMBER,2007.03,5.5,F,
HLF,SJC,3478,HLFA.SJC1BB,Household Labour Force Survey - HLF,"Persons Employed by Sex by Industry, ANZSIC06",Sex,Industry ANZSIC06,,,,Male,Mining,,,,12,3,3,NUMBER,2008.03,5.3,F,
HLF,SJC,3478,HLFA.SJC1BB,Household Labour Force Survey - HLF,"Persons Employed by Sex by Industry, ANZSIC06",Sex,Industry ANZSIC06,,,,Male,Mining,,,,12,3,3,NUMBER,2009.03,5.1,F,
HLF,SJC,3478,HLFA.SJC1BB,Household Labour Force Survey - HLF,"Persons Employed by Sex by Industry, ANZSIC06",Sex,Industry ANZSIC06,,,,Male,Mining,,,,12,3,3,NUMBER,2010.03,5.8,F,
HLF,SJC,3478,HLFA.SJC1BB,Household Labour Force Survey - HLF,"Persons Employed by Sex by Industry, ANZSIC06",Sex,Industry ANZSIC06,,,,Male,Mining,,,,12,3,3,NUMBER,2011.03,6,F,
HLF,SJC,3478,HLFA.SJC1BB,Household Labour Force Survey - HLF,"Persons Employed by Sex by Industry, ANZSIC06",Sex,Industry ANZSIC06,,,,Male,Mining,,,,12,3,3,NUMBER,2012.03,6.7,F,
HLF,SJC,3478,HLFA.SJC1BB,Household Labour Force Survey - HLF,"Persons Employed by Sex by Industry, ANZSIC06",Sex,Industry ANZSIC06,,,,Male,Mining,,,,12,3,3,NUMBER,2013.03,6.8,F,
HLF,SJC,3478,HLFA.SJC1BB,Household Labour Force Survey - HLF,"Persons Employed by Sex by Industry, ANZSIC06",Sex,Industry ANZSIC06,,,,Male,Mining,,,,12,3,3,NUMBER,2014.03,5.8,F,
HLF,SJC,3478,HLFA.SJC1BB,Household Labour Force Survey - HLF,"Persons Employed by Sex by Industry, ANZSIC06",Sex,Industry ANZSIC06,,,,Male,Mining,,,,12,3,3,NUMBER,2015.03,6.2,F,
HLF,SJC,3478,HLFA.SJC1BB,Household Labour Force Survey - HLF,"Persons Employed by Sex by Industry, ANZSIC06",Sex,Industry ANZSIC06,,,,Male,Mining,,,,12,3,3,NUMBER,2016.03,5.2,F,
HLF,SJC,3478,HLFA.SJC1BB,Household Labour Force Survey - HLF,"Persons Employed by Sex by Industry, ANZSIC06",Sex,Industry ANZSIC06,,,,Male,Mining,,,,12,3,3,NUMBER,2017.03,3.4,F,
HLF,SJC,3478,HLFA.SJC1BB,Household Labour Force Survey - HLF,"Persons Employed by Sex by Industry, ANZSIC06",Sex,Industry ANZSIC06,,,,Male,Mining,,,,12,3,3,NUMBER,2018.03,3.8,F,
HLF,SJC,3478,HLFA.SJC1BB,Household Labour Force Survey - HLF,"Persons Employed by Sex by Industry, ANZSIC06",Sex,Industry ANZSIC06,,,,Male,Mining,,,,12,3,3,NUMBER,2019.03,4.7,F,
HLF,SJC,3478,HLFA.SJC1BBD,Household Labour Force Survey - HLF,"Persons Employed by Sex by Industry, ANZSIC06",Sex,Industry ANZSIC06,,,,Male,Mining,,,,12,3,12,NUMBER,2003.12,3.8,F,
HLF,SJC,3478,HLFA.SJC1BBD,Household Labour Force Survey - HLF,"Persons Employed by Sex by Industry, ANZSIC06",Sex,Industry ANZSIC06,,,,Male,Mining,,,,12,3,12,NUMBER,2004.12,4.5,F,
HLF,SJC,3478,HLFA.SJC1BBD,Household Labour Force Survey - HLF,"Persons Employed by Sex by Industry, ANZSIC06",Sex,Industry ANZSIC06,,,,Male,Mining,,,,12,3,12,NUMBER,2005.12,5.1,F,
HLF,SJC,3478,HLFA.SJC1BBD,Household Labour Force Survey - HLF,"Persons Employed by Sex by Industry, ANZSIC06",Sex,Industry ANZSIC06,,,,Male,Mining,,,,12,3,12,NUMBER,2006.12,5.3,F,
HLF,SJC,3478,HLFA.SJC1BBD,Household Labour Force Survey - HLF,"Persons Employed by Sex by Industry, ANZSIC06",Sex,Industry ANZSIC06,,,,Male,Mining,,,,12,3,12,NUMBER,2007.12,5.7,F,
HLF,SJC,3478,HLFA.SJC1BBD,Household Labour Force Survey - HLF,"Persons Employed by Sex by Industry, ANZSIC06",Sex,Industry ANZSIC06,,,,Male,Mining,,,,12,3,12,NUMBER,2008.12,4.9,F,
HLF,SJC,3478,HLFA.SJC1BBD,Household Labour Force Survey - HLF,"Persons Employed by Sex by Industry, ANZSIC06",Sex,Industry ANZSIC06,,,,Male,Mining,,,,12,3,12,NUMBER,2009.12,5.7,F,
HLF,SJC,3478,HLFA.SJC1BBD,Household Labour Force Survey - HLF,"Persons Employed by Sex by Industry, ANZSIC06",Sex,Industry ANZSIC06,,,,Male,Mining,,,,12,3,12,NUMBER,2010.12,6,F,
HLF,SJC,3478,HLFA.SJC1BBD,Household Labour Force Survey - HLF,"Persons Employed by Sex by Industry, ANZSIC06",Sex,Industry ANZSIC06,,,,Male,Mining,,,,12,3,12,NUMBER,2011.12,6.8,F,
HLF,SJC,3478,HLFA.SJC1BBD,Household Labour Force Survey - HLF,"Persons Employed by Sex by Industry, ANZSIC06",Sex,Industry ANZSIC06,,,,Male,Mining,,,,12,3,12,NUMBER,2012.12,6.5,F,
HLF,SJC,3478,HLFA.SJC1BBD,Household Labour Force Survey - HLF,"Persons Employed by Sex by Industry, ANZSIC06",Sex,Industry ANZSIC06,,,,Male,Mining,,,,12,3,12,NUMBER,2013.12,6,F,
HLF,SJC,3478,HLFA.SJC1BBD,Household Labour Force Survey - HLF,"Persons Employed by Sex by Industry, ANZSIC06",Sex,Industry ANZSIC06,,,,Male,Mining,,,,12,3,12,NUMBER,2014.12,6.4,F,
HLF,SJC,3478,HLFA.SJC1BBD,Household Labour Force Survey - HLF,"Persons Employed by Sex by Industry, ANZSIC06",Sex,Industry ANZSIC06,,,,Male,Mining,,,,12,3,12,NUMBER,2015.12,5.3,F,
HLF,SJC,3478,HLFA.SJC1BBD,Household Labour Force Survey - HLF,"Persons Employed by Sex by Industry, ANZSIC06",Sex,Industry ANZSIC06,,,,Male,Mining,,,,12,3,12,NUMBER,2016.12,3.6,F,
HLF,SJC,3478,HLFA.SJC1BBD,Household Labour Force Survey - HLF,"Persons Employed by Sex by Industry, ANZSIC06",Sex,Industry ANZSIC06,,,,Male,Mining,,,,12,3,12,NUMBER,2017.12,3.8,F,
HLF,SJC,3478,HLFA.SJC1BBD,Household Labour Force Survey - HLF,"Persons Employed by Sex by Industry, ANZSIC06",Sex,Industry ANZSIC06,,,,Male,Mining,,,,12,3,12,NUMBER,2018.12,4.6,F,
HLF,SJC,3478,HLFA.SJC1BBJ,Household Labour Force Survey - HLF,"Persons Employed by Sex by Industry, ANZSIC06",Sex,Industry ANZSIC06,,,,Male,Mining,,,,12,3,6,NUMBER,2004.06,4,F,
HLF,SJC,3478,HLFA.SJC1BBJ,Household Labour Force Survey - HLF,"Persons Employed by Sex by Industry, ANZSIC06",Sex,Industry ANZSIC06,,,,Male,Mining,,,,12,3,6,NUMBER,2005.06,5,F,
HLF,SJC,3478,HLFA.SJC1BBJ,Household Labour Force Survey - HLF,"Persons Employed by Sex by Industry, ANZSIC06",Sex,Industry ANZSIC06,,,,Male,Mining,,,,12,3,6,NUMBER,2006.06,5.2,F,
HLF,SJC,3478,HLFA.SJC1BBJ,Household Labour Force Survey - HLF,"Persons Employed by Sex by Industry, ANZSIC06",Sex,Industry ANZSIC06,,,,Male,Mining,,,,12,3,6,NUMBER,2007.06,5.8,F,
HLF,SJC,3478,HLFA.SJC1BBJ,Household Labour Force Survey - HLF,"Persons Employed by Sex by Industry, ANZSIC06",Sex,Industry ANZSIC06,,,,Male,Mining,,,,12,3,6,NUMBER,2008.06,5,F,
HLF,SJC,3478,HLFA.SJC1BBJ,Household Labour Force Survey - HLF,"Persons Employed by Sex by Industry, ANZSIC06",Sex,Industry ANZSIC06,,,,Male,Mining,,,,12,3,6,NUMBER,2009.06,5.2,F,
HLF,SJC,3478,HLFA.SJC1BBJ,Household Labour Force Survey - HLF,"Persons Employed by Sex by Industry, ANZSIC06",Sex,Industry ANZSIC06,,,,Male,Mining,,,,12,3,6,NUMBER,2010.06,6.1,F,
HLF,SJC,3478,HLFA.SJC1BBJ,Household Labour Force Survey - HLF,"Persons Employed by Sex by Industry, ANZSIC06",Sex,Industry ANZSIC06,,,,Male,Mining,,,,12,3,6,NUMBER,2011.06,6.4,F,
HLF,SJC,3478,HLFA.SJC1BBJ,Household Labour Force Survey - HLF,"Persons Employed by Sex by Industry, ANZSIC06",Sex,Industry ANZSIC06,,,,Male,Mining,,,,12,3,6,NUMBER,2012.06,6.2,F,
HLF,SJC,3478,HLFA.SJC1BBJ,Household Labour Force Survey - HLF,"Persons Employed by Sex by Industry, ANZSIC06",Sex,Industry ANZSIC06,,,,Male,Mining,,,,12,3,6,NUMBER,2013.06,6.9,F,
HLF,SJC,3478,HLFA.SJC1BBJ,Household Labour Force Survey - HLF,"Persons Employed by Sex by Industry, ANZSIC06",Sex,Industry ANZSIC06,,,,Male,Mining,,,,12,3,6,NUMBER,2014.06,5.9,F,
HLF,SJC,3478,HLFA.SJC1BBJ,Household Labour Force Survey - HLF,"Persons Employed by Sex by Industry, ANZSIC06",Sex,Industry ANZSIC06,,,,Male,Mining,,,,12,3,6,NUMBER,2015.06,5.9,F,
HLF,SJC,3478,HLFA.SJC1BBJ,Household Labour Force Survey - HLF,"Persons Employed by Sex by Industry, ANZSIC06",Sex,Industry ANZSIC06,,,,Male,Mining,,,,12,3,6,NUMBER,2016.06,4.6,F,
HLF,SJC,3478,HLFA.SJC1BBJ,Household Labour Force Survey - HLF,"Persons Employed by Sex by Industry, ANZSIC06",Sex,Industry ANZSIC06,,,,Male,Mining,,,,12,3,6,NUMBER,2017.06,3.2,F,
HLF,SJC,3478,HLFA.SJC1BBJ,Household Labour Force Survey - HLF,"Persons Employed by Sex by Industry, ANZSIC06",Sex,Industry ANZSIC06,,,,Male,Mining,,,,12,3,6,NUMBER,2018.06,4.4,F,
HLF,SJC,3478,HLFA.SJC1BBJ,Household Labour Force Survey - HLF,"Persons Employed by Sex by Industry, ANZSIC06",Sex,Industry ANZSIC06,,,,Male,Mining,,,,12,3,6,NUMBER,2019.06,4.7,F,
HLF,SJC,3478,HLFA.SJC1BBS,Household Labour Force Survey - HLF,"Persons Employed by Sex by Industry, ANZSIC06",Sex,Industry ANZSIC06,,,,Male,Mining,,,,12,3,9,NUMBER,2004.09,4,F,
